Frame 0, Rot 0, Dist 0; 
Frame 256, Rot 0.00347077, Dist 0.0081476; 
Frame 257, Rot 0.00162218, Dist 0.00195879; 
Frame 258, Rot 0.00180235, Dist 0.0051582; 
Frame 259, Rot 0.000727501, Dist 0.00347883; 
Frame 260, Rot 0.00253745, Dist 0.00261798; 
Frame 261, Rot 0.00192397, Dist 0.00361214; 
Frame 262, Rot 0.00112796, Dist 0.00405494; 
Frame 263, Rot 0.00448744, Dist 0.00499744; 
Frame 264, Rot 0.00249735, Dist 0.00384819; 
Frame 265, Rot 0.000536625, Dist 0.00262009; 
Frame 266, Rot 0.00188917, Dist 0.00277879; 
Frame 267, Rot 0.00875401, Dist 0.00294147; 
Frame 268, Rot 0.00255339, Dist 0.00609452; 
Frame 269, Rot 0.00479723, Dist 0.00514533; 
Frame 270, Rot 0.00150669, Dist 0.00371515; 
Frame 271, Rot 0.000558947, Dist 0.00390759; 
Frame 272, Rot 0.00176714, Dist 0.00501699; 
Frame 273, Rot 0.00162649, Dist 0.00298596; 
Frame 274, Rot 0.00187742, Dist 0.00689124; 
Frame 275, Rot 0.00202315, Dist 0.00329496; 
Frame 276, Rot 0.000413064, Dist 0.00524681; 
Frame 277, Rot 0.00275193, Dist 0.00625354; 
Frame 278, Rot 0.00272262, Dist 0.00311997; 
Frame 279, Rot 0.00225225, Dist 0.00673592; 
Frame 280, Rot 0.000224824, Dist 0.00301677; 
Frame 281, Rot 0.000938493, Dist 0.00402084; 
Frame 282, Rot 0.00299383, Dist 0.00629395; 
Frame 283, Rot 0.00156267, Dist 0.00346855; 
Frame 284, Rot 0.00133012, Dist 0.00369051; 
Frame 285, Rot 0.00259627, Dist 0.00731537; 
Frame 286, Rot 0.00207573, Dist 0.00179435; 
Frame 287, Rot 0.000770788, Dist 0.00637545; 
Frame 288, Rot 0.00118773, Dist 0.010456; 
Frame 289, Rot 0.0027045, Dist 0.00431963; 
Frame 290, Rot 0.00169903, Dist 0.00409329; 
Frame 291, Rot 0.000388243, Dist 0.00674708; 
Frame 292, Rot 0.0017237, Dist 0.00280035; 
Frame 293, Rot 0.000550454, Dist 0.00361753; 
Frame 294, Rot 0.00143829, Dist 0.00520651; 
Frame 295, Rot 0.000599675, Dist 0.0011431; 
Frame 296, Rot 0.0012691, Dist 0.00473036; 
Frame 297, Rot 0.00152329, Dist 0.00549194; 
Frame 298, Rot 0.00175373, Dist 0.00266266; 
Frame 299, Rot 0.00266968, Dist 0.00283337; 
Frame 300, Rot 0.00356818, Dist 0.0042905; 
Frame 301, Rot 0.0017039, Dist 0.00227245; 
Frame 302, Rot 0.0021611, Dist 0.00357018; 
Frame 303, Rot 0.00191893, Dist 0.00630695; 
Frame 304, Rot 0.00286934, Dist 0.00186932; 
Frame 305, Rot 0.000612002, Dist 0.00124576; 
Frame 306, Rot 0.000813453, Dist 0.00347907; 
Frame 307, Rot 0.00109014, Dist 0.00463682; 
Frame 308, Rot 0.00133485, Dist 0.00118488; 
Frame 309, Rot 0.00227357, Dist 0.00702849; 
Frame 310, Rot 0.00301487, Dist 0.00096893; 
Frame 311, Rot 0.0032796, Dist 0.0028414; 
Frame 312, Rot 0.00257729, Dist 0.00478332; 
Frame 313, Rot 0.00891011, Dist 0.0027445; 
Frame 314, Rot 0.00101265, Dist 0.00220468; 
Frame 315, Rot 0.00242025, Dist 0.00305853; 
Frame 316, Rot 0.0029235, Dist 0.00655283; 
Frame 317, Rot 0.00308224, Dist 0.00196949; 
Frame 318, Rot 0.00477974, Dist 0.00884574; 
Frame 319, Rot 0.00339982, Dist 0.00234721; 
Frame 320, Rot 0.00217884, Dist 0.00469645; 
Frame 321, Rot 0.00198487, Dist 0.00626959; 
Frame 322, Rot 0.00227719, Dist 0.0078814; 
Frame 323, Rot 0.00175494, Dist 0.0023825; 
Frame 324, Rot 0.00333548, Dist 0.0028036; 
Frame 325, Rot 0.00249109, Dist 0.00650651; 
Frame 326, Rot 0.00929459, Dist 0.00173506; 
Frame 327, Rot 0.00979968, Dist 0.012927; 
Frame 328, Rot 0.00583408, Dist 0.00609245; 
Frame 329, Rot 0.00488042, Dist 0.00348149; 
Frame 330, Rot 0.00377715, Dist 0.00826194; 
Frame 331, Rot 0.000856261, Dist 0.00287969; 
Frame 332, Rot 0.00181372, Dist 0.00714821; 
Frame 333, Rot 0.00160932, Dist 0.00632901; 
Frame 334, Rot 0.00104933, Dist 0.0041517; 
Frame 335, Rot 0.00334082, Dist 0.00462875; 
Frame 336, Rot 0.0012375, Dist 0.0087299; 
Frame 337, Rot 0.00472994, Dist 0.010417; 
Frame 338, Rot 0.00467145, Dist 0.00142222; 
Frame 339, Rot 0.00185166, Dist 0.0127108; 
Frame 340, Rot 0.000607798, Dist 0.00305303; 
Frame 341, Rot 0.00309904, Dist 0.00182284; 
Frame 342, Rot 0.00255995, Dist 0.00969079; 
Frame 343, Rot 0.00228311, Dist 0.0129315; 
Frame 344, Rot 0.00233091, Dist 0.0145451; 
Frame 345, Rot 0.00177401, Dist 0.00970843; 
Frame 346, Rot 0.00264182, Dist 0.00125617; 
Frame 347, Rot 0.00292685, Dist 0.0119135; 
Frame 348, Rot 0.00406547, Dist 0.0023611; 
Frame 349, Rot 0.00178048, Dist 0.00887993; 
Frame 350, Rot 0.00149177, Dist 0.00873718; 
Frame 351, Rot 0.00293685, Dist 0.0019903; 
Frame 352, Rot 0.000897362, Dist 0.00668156; 
Frame 353, Rot 0.00183311, Dist 0.00418694; 
Frame 354, Rot 0.000753379, Dist 0.00591377; 
Frame 355, Rot 0.00183453, Dist 0.00586976; 
Frame 356, Rot 0.00324818, Dist 0.00715998; 
Frame 357, Rot 0.00292401, Dist 0.00289633; 
Frame 358, Rot 0.00158189, Dist 0.00637962; 
Frame 359, Rot 0.00240031, Dist 0.00179482; 
Frame 360, Rot 0.00544977, Dist 0.0187785; 
Frame 361, Rot 0.000815062, Dist 0.00321251; 
Frame 362, Rot 0.00167956, Dist 0.00285118; 
Frame 363, Rot 0.0031512, Dist 0.00318628; 
Frame 364, Rot 0.00261135, Dist 0.000635595; 
Frame 365, Rot 0.000383597, Dist 0.00463919; 
Frame 366, Rot 0.00373767, Dist 0.00889601; 
Frame 367, Rot 0.00468048, Dist 0.00662934; 
Frame 368, Rot 0.00203182, Dist 0.00320987; 
Frame 369, Rot 0.001643, Dist 0.00121655; 
Frame 370, Rot 0.00180462, Dist 0.00115853; 
Frame 371, Rot 0.00257121, Dist 0.00206425; 
Frame 372, Rot 0.000640482, Dist 0.00215296; 
Frame 373, Rot 0.00183771, Dist 0.00143274; 
Frame 374, Rot 0.00167311, Dist 0.00083263; 
Frame 375, Rot 0.00292337, Dist 0.000618031; 
Frame 376, Rot 0.00272205, Dist 0.000511745; 
Frame 377, Rot 0.00603391, Dist 0.0153548; 
Frame 378, Rot 0.0041499, Dist 0.0113162; 
Frame 379, Rot 0.00509114, Dist 0.00475139; 
Frame 380, Rot 0.00525415, Dist 0.0020708; 
Frame 381, Rot 0.000892657, Dist 0.00201139; 
Frame 382, Rot 0.00552685, Dist 0.0177471; 
Frame 383, Rot 0.00521659, Dist 0.00844355; 
Frame 384, Rot 0.00304736, Dist 0.00661832; 
Frame 385, Rot 0.00164891, Dist 0.00261628; 
Frame 386, Rot 0.0021918, Dist 0.00534499; 
Frame 387, Rot 0.00172297, Dist 0.00456965; 
Frame 388, Rot 0.00410332, Dist 0.0147929; 
Frame 389, Rot 0.00253767, Dist 0.00149495; 
Frame 390, Rot 0.00308212, Dist 0.00163924; 
Frame 391, Rot 0.00137277, Dist 0.00169604; 
Frame 392, Rot 0.00253908, Dist 0.00354992; 
Frame 393, Rot 0.00481519, Dist 0.00130863; 
Frame 394, Rot 0.00538728, Dist 0.00341484; 
Frame 395, Rot 0.00484546, Dist 0.00347427; 
Frame 396, Rot 0.00460433, Dist 0.00578812; 
Frame 397, Rot 0.000808828, Dist 0.009035; 
Frame 398, Rot 0.00383746, Dist 0.00218855; 
Frame 399, Rot 0.00180115, Dist 0.00380965; 
Frame 400, Rot 0.00209429, Dist 0.011793; 
Frame 401, Rot 0.00408539, Dist 0.00532202; 
Frame 402, Rot 0.00321418, Dist 0.013748; 
